mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-685353,0.962,0.171,-538.0,616.0,Bi15PO25,0.85,7.63
mp-765907,0.162,0.0147,-604.0,755.0,LiMnF5,6.49,73.4
mp-28680,0.782,0.0132,-430.0,774.0,KGaBr4,0.667,45.7
mp-634105,4.27,0.22,-514.0,836.0,HBr,3.69,10.4
mp-721287,0.847,0.0216,-417.0,780.0,Na3AsH14SO10,0.579,36.7
mp-540440,0.369,0.548,-731.0,630.0,FeP2O7,26.2,3.9
mp-554120,1.21,0.761,-571.0,540.0,DyCuS2,2.73,1.48
mp-559063,0.0724,0.0189,-710.0,790.0,CsBC3NO2F9,282.0,1020.0
mp-777394,1.19,0.0647,-263.0,738.0,Sn2N2O,0.17,48.5
mp-753794,0.773,0.384,-695.0,733.0,Hf2P2O9,15.5,10.1
mp-763734,0.104,0.268,-602.0,564.0,LiFeSiO4,16.9,4.88
mp-9693,0.93,0.159,-374.0,695.0,K2SnSe3,0.439,6.39
mp-567431,0.111,1.93,-831.0,513.0,ThCl4,18.5,1.57
mp-699606,0.0831,0.00934,-706.0,699.0,Sb3WC6O6F17,29.2,478.0
mp-5072,0.805,0.15,-470.0,748.0,Rb2HgO2,0.993,6.39
mp-629080,0.018,0.0269,-784.0,742.0,Fe2C9O7F4,178.0,214.0
mp-558706,0.986,0.102,-359.0,676.0,RbGa3S5,0.384,7.11
mp-30847,1.21,0.6869999999999999,-562.0,679.0,TiSnPt,0.74,1.3
mp-540983,0.0675,0.0548,-806.0,843.0,NaLiMo(H2O3)2,27.9,66.5
mp-560026,0.988,0.0767,-402.0,720.0,Mg5B3O9F,0.464,9.66
mp-27686,0.949,0.123,-384.0,661.0,Cd2P2O7,0.439,5.47
mp-763560,0.0778,0.0814,-644.0,690.0,LiMn2(CO3)4,67.7,25.6
mp-34857,0.226,0.299,-762.0,789.0,KNO2,8.04,13.4
mp-1266,1.11,0.123,-311.0,763.0,Na2Se,0.245,2.22
mp-7482,1.0,0.38,-354.0,682.0,RbHgF3,0.353,0.928
mp-761619,0.215,0.154,-621.0,629.0,LiMn(SiO3)2,5.81,8.87
mp-9297,0.235,0.298,-727.0,792.0,Ba(AuO2)2,6.46,5.0
mp-6467,0.179,0.175,-638.0,665.0,Na2CuP2O7,21.7,44.5
mp-554115,0.668,0.0945,-201.0,559.0,ZnS,3280.0,5690.0
mp-555321,0.65,0.0767,-602.0,845.0,BaNiF4,68.1,158.0
mp-578796,0.0595,0.0449,-733.0,726.0,KVCdO4,94.3,38.4
mp-757836,0.459,0.212,-643.0,706.0,BeH2SeO4,4.91,6.52
mp-29123,0.146,0.595,-725.0,602.0,Se2Br3N,48.6,14.6
mp-706655,0.926,0.1,-434.0,667.0,Na2B4H8O11,0.575,21.5
mp-559175,2.37,0.341,-515.0,726.0,WO3,0.394,2.67
mp-380,1.09,0.112,-204.0,554.0,ZnSe,0.107,1.1
mp-4626,0.629,0.412,-504.0,671.0,CaCO3,1.14,11.1
mp-767297,0.0925,0.0158,-651.0,717.0,MnH8C2S2(NO2)2,16.7,86.7
mp-11824,1.25,1.35,-450.0,461.0,Ca3PN,0.458,0.425
mp-766881,0.345,0.0124,-569.0,781.0,H7SIO10,7.33,191.0
mp-704306,0.321,0.165,-658.0,686.0,K2U2MoO10,21200.0,391.0
mp-29484,1.06,0.0791,-313.0,729.0,K4HgAs2,0.266,4.62
mp-675871,0.914,1.29,-649.0,585.0,ErPaO4,1.39,0.95
mp-738714,0.169,0.0488,-721.0,785.0,LiHCO2,9.02,46.1
mp-18832,0.122,0.28099999999999997,-755.0,683.0,K2VO2F3,19.5,54.5
mp-26875,0.859,0.0732,-410.0,755.0,Li2CuPO4,0.558,22.3
mp-553243,1.15,0.285,-326.0,600.0,YBi2BrO4,0.326,1.06
mp-676816,0.0162,0.304,-930.0,776.0,La2PbF8,193.0,14.2
mp-765241,0.233,0.0135,-718.0,860.0,VF5,18600.0,121.0
mp-8360,0.987,1.32,-591.0,477.0,RbTe,1.15,1.14
mp-617,0.99,0.426,-689.0,767.0,PtO2,1.43,5.18
mp-604702,0.0458,0.207,-712.0,636.0,H10PtC(N4O)2,46.1,24.4
mp-752851,0.871,0.0572,-421.0,822.0,Ca2SiB2O7,0.593,8.74
mp-510075,1.46,0.268,-459.0,623.0,Cs7Au5O2,0.421,947.0
mp-9856,1.34,1.7,-540.0,533.0,Cs2ZrSe3,8.08,13.7
mp-676693,0.586,0.339,-689.0,689.0,KCN,15.7,7.22
mp-755998,0.913,0.841,-547.0,618.0,Zr3N2O3,2.2,1.68
mp-752515,0.802,0.259,-511.0,767.0,YTa3O9,1.27,11.9
mp-651847,0.842,0.072,-350.0,707.0,GdGaGe2O7,0.415,21.6
mp-770066,0.612,0.452,-289.0,294.0,Na3NiBPO7,39.0,37.4
mp-16870,1.13,0.229,-312.0,576.0,Ba2CdSe3,0.254,1.63
mp-1479,2.39,2.35,-531.0,522.0,BP,0.332,0.339
mp-754038,0.825,0.951,-613.0,580.0,YIO,16.6,2.47
mp-776407,0.798,0.178,-546.0,683.0,LaTa2NO5,2.39,7.3
mp-567537,0.354,0.197,-596.0,652.0,TaI4,3.73,7.3
mp-556178,0.972,0.0296,-391.0,795.0,BaAl2(GeO4)2,0.444,36.4
mp-774586,0.28099999999999997,0.306,-735.0,682.0,Nb3Sb(PO4)6,5.43,5.38
mp-505700,1.15,0.088,-315.0,702.0,KInSe2,0.253,11.9
mp-654335,0.291,0.302,28.0,40.3,CsK5Ru2O9,4.47,4.66
mp-779332,0.623,0.178,-566.0,689.0,B2TeO6,3.1,13.9
mp-27782,0.369,0.223,-681.0,673.0,XeIF7,49.5,5.88
mp-775746,1.38,0.232,-515.0,664.0,Li2U(WO5)2,236.0,4.86
mp-18271,0.0276,0.147,-767.0,732.0,Na5Ti2Si2PO13,643.0,12800.0
mp-29956,1.07,0.0492,-300.0,674.0,Hg3(SI)2,0.238,6.42
mp-574040,0.804,0.165,-422.0,726.0,K2SnBr6,0.625,3.2
mp-555050,0.702,0.176,-656.0,735.0,BaNb2O6,4.15,12.4
mp-669367,0.886,0.119,-418.0,788.0,KAl(SO4)2,0.557,4.16
mp-6219,0.0566,0.106,-780.0,782.0,K3Co(CN)6,32.7,30.4
mp-24019,0.932,0.214,-534.0,733.0,H4NClO,0.946,5.75
mp-565302,0.332,0.433,-723.0,683.0,ErMoO4F,6.47,10.0
mp-560866,0.00339,0.0676,-917.0,835.0,LiLa(PO3)4,821.0,37.6
mp-675475,0.493,1.06,-567.0,596.0,Li2MnBr4,31.6,3.95
mp-504910,0.363,0.0955,-618.0,744.0,Sr(BrO3)2,3.23,15.7
mp-29040,0.0675,0.257,-746.0,801.0,Li3Zr4F19,264.0,756.0
mp-850779,0.589,0.118,-706.0,746.0,HoTa7O19,5.01,12.2
mp-774246,0.442,0.21,-675.0,674.0,Nb9VO25,3.21,7.13
mp-556530,0.273,0.434,-800.0,706.0,LaSc3(BO3)4,6.74,5.19
mp-32594,0.917,0.565,-431.0,539.0,Sm2Se3,0.594,1.01
mp-776886,0.124,0.157,-753.0,741.0,Li2FeF5,1440.0,63.1
mp-764236,0.902,0.317,-695.0,649.0,Li2MnCO5,5.44,18.1
mp-565932,0.669,0.473,-715.0,652.0,CdTeMoO6,6.66,3.05
mp-767162,0.205,0.0502,-588.0,651.0,Li2Mn3O4F3,4.9,29.9
mp-759095,0.857,0.105,-431.0,736.0,LiSn2P4H3O16,0.663,18.4
mp-756272,0.305,0.437,-715.0,760.0,LaDyO3,6.12,3.51
mp-16737,0.881,0.06,-419.0,784.0,Na2BeB2O5,0.574,12.0
mp-540216,0.0512,0.26,-764.0,657.0,LiFeP2O7,43.0,18.5
mp-753532,0.391,0.318,-151.0,19.9,Nb2O3F2,0.502,0.551
mp-704299,0.00962,0.112,-757.0,648.0,FePO4,170.0,29.8
mp-39003,0.99,0.0316,-369.0,710.0,Mg3Al14O24,0.389,97.6
mp-10418,0.778,0.27,-544.0,712.0,RbSbO2,1.38,10.8
mp-721084,0.993,0.0992,-365.0,775.0,H7IN2,0.379,7.1
mp-756968,0.828,0.0203,-430.0,809.0,K3CaPCO7,0.638,34.4
mp-565267,0.29,0.307,-587.0,643.0,Na2SrV3O9,58.9,386.0
mp-776563,0.567,0.422,-727.0,746.0,CrO3,6.48,9.52
mp-755492,0.292,0.291,-681.0,685.0,NaCuP2O7,9.47,10.2
mp-642648,0.824,0.196,-601.0,721.0,KP(HO)2,3.06,12.6
mp-559710,0.985,0.0284,-374.0,743.0,NaInAs2O7,0.402,66.2
mp-865101,1.95,1.4,-424.0,545.0,NaLi2Bi,0.26,0.361
mp-23046,1.07,0.272,-355.0,713.0,SrIF,0.332,15.5
mp-865605,0.857,0.222,-540.0,705.0,YBr3,3.11,3.99
mp-720849,0.824,0.619,-511.0,583.0,Na2H6PtC4N4O3,90.2,146000.0
mp-627334,0.248,0.512,-597.0,581.0,Si2H2O3,9.14,3.91
mp-29585,1.11,0.0848,-312.0,719.0,K4CdAs2,0.251,4.14
mp-573727,0.275,0.416,-624.0,599.0,Bi8SbAuBr9,4.47,4.72
mp-569287,1.43,0.446,-410.0,613.0,TlPAuSe3,0.375,1.41
mp-6397,0.881,0.0587,-414.0,789.0,Na2Ca(SO4)2,0.55,18.7
mp-703550,0.945,0.02,-411.0,811.0,LiZnPH2O5,0.507,33.8
mp-7572,0.91,0.188,-405.0,722.0,MgSO4,0.519,4.04
mp-758413,1.26,0.569,-265.0,-322.0,Na2CdO2,0.158,0.349
mp-762430,0.318,0.0826,-620.0,692.0,LiCrSiO4,8.01,22.3
mp-11709,0.604,0.678,-721.0,658.0,Sm(BO2)3,6.71,3.06
mp-754149,0.038,0.905,-888.0,729.0,GdOF,84.0,15.5
mp-505321,0.465,1.14,-628.0,522.0,CsNb(CuTe2)2,4.82,1.2
mp-554863,0.612,0.397,-666.0,638.0,KNb5O13,4.6,76.2
mp-778473,0.0323,0.567,-681.0,585.0,Gd3SbO7,40.6,3.36
mp-560597,0.881,0.0393,-409.0,814.0,Na8Si6SnO18,0.538,13.2
mp-766467,1.06,0.127,-347.0,624.0,LiCuS,0.32,2.71
mp-680168,0.4,0.317,-621.0,602.0,K2Re3C2Se5N2,15.1,7.26
mp-26630,0.258,0.213,-722.0,734.0,TiP2O7,8.72,9.99
mp-569129,1.27,0.347,-488.0,651.0,TlCuPSe3,0.537,2.02
mp-24384,0.93,0.0674,-408.0,735.0,CaH8(ClO2)2,0.504,18.7
mp-758604,0.842,0.0482,-429.0,825.0,LiAgF2,0.617,12.1
mp-547017,0.926,0.124,-392.0,714.0,LiAlAs2O7,0.474,4.86
mp-571228,0.287,0.0919,-586.0,681.0,Rb5Sn(PSe5)3,6.84,24.7
mp-35208,0.57,0.225,-701.0,891.0,NdOF,2.43,6.16
mp-768207,0.233,0.693,-677.0,658.0,Li2SbPCO7,14.2,5.21
mp-770481,0.853,0.193,-649.0,656.0,Ta9PO25,1.81,6.27
mp-17439,0.871,0.0625,-410.0,731.0,KSm(PO3)4,0.547,50.3
mp-861906,0.947,0.0956,-393.0,798.0,BaNa2Mg(PO4)2,0.46,5.33
mp-746691,0.0921,0.00827,-690.0,731.0,CoH8(ClO2)2,73.3,302.0
mp-27629,1.01,0.825,-570.0,509.0,Cs3Sb2Cl9,0.91,1.2
mp-774732,0.946,0.246,-450.0,578.0,Li5BiS4,0.719,2.85
mp-17661,0.864,0.0461,-408.0,746.0,RbNd(PO3)4,0.546,36.3
mp-5132,0.723,0.402,-681.0,689.0,YPO4,1.86,4.54
mp-15703,0.999,0.526,-377.0,465.0,BeCN2,0.412,0.763
mp-77,0.184,0.302,-660.0,610.0,S,9.81,9.94
mp-558690,0.804,0.342,-445.0,612.0,ZnB4O7,0.752,1.76
mp-768500,0.785,0.522,-431.0,487.0,Sb2(SO4)3,0.668,1.01
mp-743964,0.057,0.0252,-738.0,766.0,K3VH6C4O13,603.0,173.0
mp-760014,0.197,0.00132,-667.0,614.0,LiSbF4,40.7,1380.0
mp-676002,0.824,0.0187,-427.0,865.0,Ba2PrF7,0.627,55.0
mp-341,0.745,0.101,-466.0,806.0,PbF4,0.837,6.19
mp-5760,1.07,0.62,-387.0,588.0,NdSF,0.515,2.78
mp-27632,0.493,0.486,-681.0,708.0,K2TcCl6,2.65,2.69
mp-24150,1.19,0.67,-462.0,565.0,LiNd2HO3,0.535,40.0
mp-552488,1.17,0.824,-503.0,560.0,LaCuSeO,1.17,1.37
mp-640836,0.823,0.075,-560.0,665.0,Ca2Ta2O7,32.3,12.5
mp-769038,0.408,0.351,-657.0,650.0,Li3NbS4,3.18,3.93
mp-12372,0.875,0.0686,-407.0,751.0,CaSO4,0.533,10.1
mp-7949,0.803,0.019,-440.0,883.0,Rb2GeF6,0.68,46.4
mp-12866,1.03,0.189,-360.0,706.0,SrSnO3,0.361,2.67
mp-8957,0.898,0.039,-405.0,752.0,Na5TaO5,0.517,24.2
mp-765793,0.275,0.362,-637.0,581.0,Li2Mn(PO4)2,8.61,21.5
mp-758861,0.755,0.00393,-461.0,789.0,Li3AgF4,0.797,979.0
mp-772090,0.159,0.135,-738.0,751.0,Li4Ti9O20,17.0,13.6
mp-770071,0.701,0.759,-173.0,360.0,LiAl2FeO6,4.39,1.96
mp-540489,0.0849,0.0815,-730.0,724.0,LiCoPO4,18.9,26.4
mp-18255,0.88,0.0424,-409.0,753.0,RbSm(PO3)4,0.537,31.5
mp-20210,0.845,0.475,-442.0,644.0,Ag2PbO2,0.694,2.89
mp-1509,1.4,1.49,-635.0,539.0,Sn2S3,1.93,1.1
mp-8986,0.00153,0.0898,-899.0,763.0,Ba2GdC2(O2F)3,6130.0,140.0
mp-866829,0.875,0.516,-471.0,630.0,Ca2SnS4,0.782,4.94
mp-766965,0.266,0.145,-652.0,809.0,Li2MnOF3,11.3,146.0
mp-777704,0.34,0.0227,-460.0,714.0,Li2Mn3F8,1.96,265.0
mp-770950,0.876,0.0299,-439.0,736.0,LiLa4MnO8,0.645,18.7
mp-560899,0.828,0.0258,-421.0,767.0,CaB3H5O8,0.604,40.2
mp-763642,0.0385,0.437,-748.0,657.0,LiFeP2O7,56.2,33.9
mp-554740,0.952,0.131,-357.0,678.0,CdGe(BiO3)2,0.382,5.76
mp-867605,0.979,0.0881,-358.0,672.0,Y(Bi5O8)3,0.371,4.68
mp-22856,1.5,0.36,-416.0,613.0,Bi2S3,0.443,1.8
mp-4871,0.862,0.0686,-426.0,652.0,ErP5O14,0.608,11.2
mp-22512,1.04,0.378,-337.0,580.0,Sr2In2O5,0.308,10200.0
mp-556578,0.508,0.143,-599.0,687.0,Cd(IO3)2,2.67,9.45
mp-571146,1.52,0.428,-549.0,694.0,SnICl,1.73,3.28
mp-755350,0.0152,0.346,-735.0,685.0,BaLaI5,875.0,6.76
mp-2667,1.93,2.15,-438.0,303.0,CsAu,0.28,0.251
mp-554107,0.994,0.00834,-356.0,814.0,K2Na4Ge2O7,0.379,58.4
mp-849779,0.79,0.159,-457.0,626.0,LiSi6BiO14,0.805,27.8
mp-561127,0.000565,0.025,-830.0,819.0,K2Ce(NO3)6,38700.0,127.0
mp-555742,0.771,0.0285,-439.0,772.0,Ba2B5ClO9,0.708,24.2
mp-19957,0.796,0.19,-432.0,702.0,LaGeBO5,0.66,218.0
mp-11660,1.29,0.577,-431.0,584.0,Hf3N4,0.406,0.906
mp-754468,0.94,0.176,-577.0,737.0,NaCuO2,2.16,13.6
mp-554876,0.0491,0.0525,-754.0,789.0,AsCS2N2OF5,56.3,91.4
mp-28967,0.78,0.356,-500.0,672.0,Ba(PdS2)2,1.15,2.32
mp-24292,1.1,0.0394,-555.0,923.0,Sr2H6Ru,0.791,22.0
mp-863427,0.654,0.442,-555.0,612.0,Li3Si2BiO7,2.11,3.89
mp-554260,0.751,0.0986,-515.0,685.0,SnSb2As2F18,53.6,15.8
mp-11009,0.71,0.893,-703.0,653.0,CaC2(SN)2,4.59,5.47
mp-695449,0.133,0.0333,-697.0,704.0,Ca2Ga2Bi(B2O7)2,12.3,86.3
mp-866474,0.808,0.144,-538.0,775.0,Ca2SnS4,1.12,5.91
mp-776444,0.133,0.134,-771.0,753.0,KLiTi2(PO5)2,20.6,16.4
mp-600027,0.814,0.19,-439.0,669.0,SiO2,0.675,41.1
mp-13803,1.09,0.115,-287.0,801.0,Nb2Hg2O7,0.213,2.02
mp-765269,0.621,0.517,-506.0,148.0,Mn2F7,36.5,92.2
mp-24834,0.228,0.073,-710.0,843.0,H4N2O3,6.87,35.3
mp-605684,0.0586,0.162,-748.0,649.0,Mg3H13C9NO13,27.3,292.0
mp-775861,0.799,0.265,-447.0,674.0,Zr2N2O,0.712,3.92
mp-706489,0.911,0.023,-436.0,762.0,NaB2HO4,0.592,23.6
mp-769942,0.636,0.0759,-378.0,693.0,LiMnBO3,0.645,21.0
mp-559984,0.974,0.0514,-554.0,736.0,Rb8AlAu3O4,1.06,69.7
mp-863387,0.945,0.00618,-382.0,714.0,K6Al32O51,0.436,368.0
mp-10421,1.96,1.12,-588.0,636.0,RbAuC2,0.758,3.03
mp-561190,0.0891,0.213,-788.0,740.0,NaAu(SO4)2,95.7,9.65
mp-557203,1.29,0.358,-559.0,748.0,SrZrO3,0.685,2.46
mp-761458,1.8,1.81,41.4,42.6,Li4Nb3V3Cr2O16,0.0883,0.0883
mp-765872,0.399,0.0915,-469.0,652.0,LiMnPO4,1.58,14.2
mp-540805,1.1,0.74,-512.0,641.0,Ba2GeS4,1.48,3.33
mp-866762,0.145,0.217,-713.0,675.0,LiNd9Mo16O35,13.1,56.2
mp-554094,0.817,0.0161,-433.0,855.0,CaMg2(SO4)3,0.653,41.2
mp-556328,0.857,0.31,-583.0,637.0,AsS,1.44,4.75
mp-766806,0.00447,0.0184,-779.0,723.0,LiMn2F9,430.0,565.0
mp-558432,1.01,0.0344,-390.0,758.0,Na3P(SO)2,0.458,17.4
mp-8346,0.984,0.032,-385.0,779.0,Lu2Ge2O7,0.427,19.8
mp-23444,0.293,0.0242,-633.0,849.0,AsCl2F3,19.7,48.5
mp-22893,1.18,0.262,-409.0,763.0,PbI2,0.946,1.91
mp-6305,0.118,0.107,-720.0,764.0,K3TiO4F3,15.3,18.2
mp-756970,0.811,0.0451,-433.0,774.0,Al2(SeO4)3,0.655,13.2
mp-685194,0.492,0.136,-567.0,770.0,Li4Ti5O12,2.07,7.77
mp-849786,0.836,0.0204,-429.0,708.0,ZnP2H15C4NO8,0.62,28.0
mp-27650,0.0994,0.0359,-667.0,720.0,RbB10H9,12.9,61.2
mp-763093,0.64,0.0707,-387.0,716.0,Li2Mn3F8,0.664,201.0
mp-10552,0.795,0.526,-542.0,576.0,RbBSe3,1.16,1.7
mp-768939,0.239,0.0745,-705.0,746.0,Sn2(SO4)3,7.22,26.3
mp-17691,1.41,0.665,-602.0,578.0,Cu3SbS3,0.954,2.08
mp-559419,0.986,9.21e-05,-397.0,653.0,Ba9LiSi10C(ClO4)7,0.456,121000.0
mp-680334,0.371,0.348,-605.0,646.0,LaSb(SBr)2,3.13,3.91
mp-647549,0.158,0.0685,-657.0,713.0,CSe(ClF)3,12.0,23.9
mp-661,1.05,0.306,-335.0,575.0,AlN,0.301,2.53
mp-762639,0.0777,0.0957,-704.0,719.0,LiFeSiO4,20.7,19.6
mp-560209,0.92,0.0111,-420.0,792.0,Li9Al3P8O29,0.541,73.3
mp-765198,0.352,0.209,-654.0,661.0,Li3MnF7,3.43,7.78
mp-9820,0.635,0.0325,-498.0,814.0,CsAsF6,1.11,22.3
mp-20980,0.997,0.151,-532.0,743.0,NaNdTiO4,39300.0,11.5
mp-680059,0.00169,0.0761,-758.0,688.0,Re3(SCl)7,1080.0,21.5
mp-14433,1.06,0.114,-323.0,758.0,NaGe2N3,0.281,3.54
mp-764278,0.0752,0.0373,-673.0,755.0,Li3MnF5,29.5,90.0
mp-760251,0.18,0.196,-651.0,668.0,Na2CuP2O7,83.2,171.0
mp-568008,0.536,1.13,-513.0,471.0,Rb3Mn2Cl7,59200.0,342000.0
mp-759244,0.236,0.175,-723.0,705.0,Li12Nb14ZnO42,6.86,11.6
mp-720385,0.648,0.0252,-454.0,730.0,NaH5SO4,1.02,34.6
mp-1602,0.823,0.363,-573.0,689.0,SiS2,1.29,32.8
mp-28046,0.0763,0.0992,-681.0,674.0,AlP2I9,24.3,15.2
mp-540635,0.959,0.0702,-360.0,717.0,BaSn(GeO3)3,0.384,9.42
mp-698132,0.912,0.0408,-403.0,797.0,Al2Si2H4O9,0.504,51.0
mp-39770,0.209,0.517,-742.0,634.0,Zr2P3H4NO12,8.08,3.87
mp-541914,0.361,0.215,-644.0,620.0,MnHgC4(SN)4,5.34,5.45
mp-744534,0.0893,0.141,-768.0,727.0,VH8N2O5F,87.7,31.6
mp-867839,0.486,0.374,-704.0,716.0,Ta7BiO19,4.51,7.74
mp-28728,0.738,0.124,-490.0,633.0,K6Sn3As5,1.02,7.17
mp-504949,0.801,0.158,-644.0,772.0,Ba2WO5,8.81,8.11
mp-627016,0.958,0.0398,-381.0,775.0,Ba(HO)2,0.429,11.8
mp-19188,0.484,0.197,-692.0,723.0,Ba3Mn2O8,2.93,7.91
mp-21043,1.68,2.12,-538.0,367.0,RbPbF3,0.486,0.385
mp-11875,0.25,0.151,-810.0,860.0,CO,7.39,12.2
mp-559347,0.939,0.105,-414.0,722.0,SiO2,0.513,9.4
mp-654202,0.342,0.15,-640.0,732.0,Tl4Fe(CN)6,9.83,15.3
mp-7639,1.66,0.484,-378.0,494.0,Na2CuP,0.617,0.965
mp-505001,0.955,0.0366,-366.0,702.0,Rb3ZnBr5,0.398,15.2
mp-626173,0.942,0.24,-380.0,592.0,HoHO2,0.436,4.97
mp-19121,0.611,0.177,-515.0,728.0,TbVO4,1.25,4.67
mp-554736,0.889,0.0977,-417.0,714.0,CaB2(H6O5)2,0.553,10.0
mp-758810,0.684,0.691,-587.0,537.0,LiBi2P3O11,2.22,1.69
mp-850503,0.0035,0.0101,-790.0,772.0,NaCrH22N6(Cl2O)2,585.0,190.0
mp-37233,0.96,0.283,-346.0,647.0,Nd2CdS4,0.352,2.31
mp-680061,0.953,0.0276,-361.0,735.0,Rb2Sn(GeO3)3,0.387,21.8
mp-768295,0.434,0.0433,-583.0,712.0,Ba2YI7,9.05,24.8
mp-765266,0.254,0.0237,-640.0,700.0,LiMn2F7,8.7,60.4
mp-707929,0.0881,0.0928,-759.0,718.0,LiBH2C4O9,27.5,22.3
mp-550759,0.849,0.101,-425.0,822.0,RbClO4,0.601,5.06
mp-566256,0.00908,0.0592,-762.0,691.0,CaFeSbAs2O7,181.0,28.6
mp-23151,0.914,0.0207,-404.0,783.0,Na4BeAlSi4ClO12,0.504,22.3
mp-850159,0.382,0.0462,-455.0,716.0,Li2Mn(Si2O5)2,1.75,215.0
mp-674522,0.115,0.0449,-627.0,755.0,K6U4O15,570.0,110000.0
mp-8389,1.09,0.22,-327.0,575.0,Na6ZnS4,0.277,2.77
mp-541393,0.40599999999999997,0.238,-714.0,666.0,K3NaRe2O9,6.39,52.6
mp-5251,0.888,0.129,-425.0,701.0,Ca4CN4,0.591,32.1
mp-32780,0.701,0.992,-561.0,506.0,AuCl,1.86,1.48
mp-769319,0.378,0.292,-685.0,743.0,LiNb(OF)2,20.0,24.8
mp-743568,0.609,0.0828,-355.0,695.0,MnH2(SeO4)2,0.587,5.97
mp-10553,0.539,0.187,-512.0,659.0,Mg(C2N3)2,1.38,4.12
mp-762006,0.292,0.29,28.6,55.2,LiNiPO4,0.929,0.915
mp-744996,0.136,0.00355,-663.0,747.0,CoH14N5O9,9.23,368.0
mp-763267,0.0528,0.0849,-491.0,109.0,V3OF11,23.1,153.0
mp-7811,0.881,0.211,-414.0,779.0,SrSO4,0.549,2.29
mp-554641,1.01,0.0596,-394.0,753.0,Sr3Mg(SiO4)2,0.434,8.46
mp-28791,0.114,0.15,-677.0,713.0,Se2NCl3,11.7,10.0
mp-863868,0.173,0.03,-671.0,780.0,Li2VF5,10.4,50.5
mp-556237,0.819,0.0689,-433.0,856.0,KLiYF5,0.647,160.0
mp-31970,0.17,0.175,-641.0,701.0,LiMnPO4,9.01,24.0
mp-25177,0.584,0.382,-616.0,625.0,Bi2WO6,7.02,3.33
mp-649945,0.0104,0.00958,-685.0,607.0,Os4C13SO13,195.0,1390.0
mp-560399,0.888,0.134,-419.0,811.0,NaMgF3,0.557,3.7
mp-555763,1.13,0.173,-271.0,589.0,ZnS,0.183,1.21
mp-763083,0.0723,0.0501,-693.0,782.0,Li2MnF6,20.6,122.0
mp-558716,0.113,0.0593,-740.0,713.0,WSNCl5,289.0,32.1
mp-555958,0.928,0.002,-414.0,765.0,Ba2Li3(PO3)7,0.52,281.0
mp-17167,1.03,0.0511,-375.0,814.0,Be3Cd4Si3TeO12,0.386,7.75
mp-556132,0.951,0.0815,-401.0,689.0,SiO2,0.479,7.68
mp-13743,0.958,0.023799999999999998,-383.0,783.0,K3GaO3,0.433,52.7
mp-768342,1.05,1.57,-633.0,447.0,SrNb2O4,1.13,0.738
mp-735584,0.0152,0.014,-801.0,741.0,Rb2FeH2C5(N3O)2,2210.0,208.0
mp-604120,0.911,0.00587,-421.0,843.0,PH6NO4,0.549,99.2
mp-15782,1.38,0.874,-554.0,564.0,KPrS2,0.646,1.8
mp-562575,0.283,0.178,-704.0,668.0,KMo(PO4)2,65.5,112.0
mp-868386,0.0101,0.216,-719.0,626.0,Li2FeP3O10,4440.0,87.2
mp-17621,0.21,0.0803,-714.0,816.0,CsReO4,7.72,30.7
mp-684508,0.401,0.222,-646.0,698.0,LiSb2(PO4)3,4.51,5.97
mp-14026,0.876,0.267,-516.0,699.0,Ca2Ta2O7,0.858,2.82
mp-621182,0.304,0.098,-552.0,682.0,TlMo2Cl7O2,14.9,195.0
mp-768918,0.000106,0.0237,-804.0,790.0,Ce(ClO4)4,30100.0,96.5
mp-721171,0.932,0.163,-405.0,785.0,CsMgH12(ClO2)3,0.496,3.88
mp-758635,0.026,0.243,-794.0,721.0,UH12S2O15,32800.0,230.0
mp-761320,0.637,0.0205,-363.0,744.0,Li2VP2O7,0.585,37.0
mp-556975,0.926,0.394,-519.0,610.0,Nd3SiCuS7,0.867,3.19
mp-25305,0.994,1.43,-557.0,618.0,Y2Ti2S2O5,3160.0,74.6
mp-695995,0.318,0.287,-636.0,690.0,ReSbH4O7,7.84,38.2
mp-7773,2.46,0.947,-398.0,523.0,Na2AsAu,0.441,0.82
mp-22473,1.99,0.732,-422.0,661.0,NaInSe2,0.261,1.96
mp-12427,0.711,0.614,-656.0,728.0,Sr2TaGaO6,1.84,2.35
mp-555481,1.03,0.0291,-383.0,779.0,Ba6Er2Ga4O15,0.407,16.1
mp-730972,0.00401,0.00303,-301.0,162.0,UP3H10ClO8,78.8,95.8
mp-558295,0.0313,0.155,-769.0,716.0,CS3N5Cl,67.6,12.9
mp-556892,0.859,0.239,-559.0,771.0,InBiO3,1.08,4.31
mp-704753,0.64,0.397,-604.0,637.0,Hg2Mo2O7,3.81,5.61
mp-4425,1.02,0.193,-445.0,692.0,Ta2Pt3Se8,0.735,3.01
mp-608398,0.065,0.0265,-734.0,764.0,NbSNCl6,36.4,108.0
mp-3821,0.389,0.188,-769.0,822.0,K2PtF6,21.3,9.48
mp-768147,0.7,0.138,-603.0,708.0,Dy(ClO4)3,2.07,24.3
mp-774074,0.987,0.0244,-368.0,773.0,Na2Sb4O11,0.391,19.3
mp-28005,0.34,0.0603,-608.0,730.0,As2(SO4)3,6.17,21.5
mp-754637,0.242,0.245,-703.0,762.0,NaCuP2O7,68.8,518.0
mp-30137,0.35,0.0858,-602.0,704.0,Gd3ReO8,8.52,13.8
